LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,,PARAM_TYPE,NOTE,M_E_APPENDIXB
,,,,,51252,MICROCYTES,,labevents,58059,HEMATOLOGY,,BLOOD,741-9,,,,,0
,,,,,142,Current Goal,,chartevents,58045,,,,,carevue,,,,0
,,,,,530,Peak Flow,,chartevents,56368,,,,,carevue,,,,0
,,,,,29,Access mmHg,,chartevents,56113,,,,,carevue,,,,0
,,,,,363,ImpSkin Wound Base#2,,chartevents,56102,,,,,carevue,,,,0
,,,,,146,Dialysate Flow ml/hr,,chartevents,55936,,,,,carevue,,,,0
,,,,,51267,POIKILOCYTOSIS,,labevents,55886,HEMATOLOGY,,BLOOD,779-9,,,,,0
,,,,,192,Filter Pressure mmHg,,chartevents,55454,,,,,carevue,,,,0
,,,,,624,Return Pressure mmHg,,chartevents,55380,,,,,carevue,,,,0
,,,,,665,System Integrity,,chartevents,55358,,,,,carevue,,,,0
,,,,,147,Dialysate Infusing,,chartevents,55140,,,,,carevue,,,,0
,,,,,612,Replace.Fluid Infuse,,chartevents,55105,,,,,carevue,,,,0
,,,,,468,O2 Delivery Device#2,,chartevents,54799,,,,,carevue,,,,0
,,,,,51009,VANCOMYCIN,,labevents,54744,CHEMISTRY,,BLOOD,20578-1,,,,,0
,,,,,173,Effluent Press mmHg,,chartevents,54733,,,,,carevue,,,,0
,,,,,464,Neuro Drain Type,,chartevents,54305,,,,,carevue,,,,0
,,,,,387,Inc #2 [Closure],,chartevents,54151,,,,,carevue,,,,0
,,,,,3374,Color Change,,chartevents,54077,,,,,carevue,,,,0
,,,,,1699,GI Tube #2 [Site],,chartevents,53989,,,,,carevue,,,,0
,,,,,463,Neuro Drain Status,,chartevents,53296,,,,,carevue,,,,0
,,Site Length #1,,,224562,Impaired Skin Length #1,cm,chartevents,53288,Skin - Impairment,,,,metavision,,Numeric,,0
,,,,,8493,GI Tube #2 [Site],,chartevents,53277,,,,,carevue,,,,0
,,,,,3690,Water Pillow,,chartevents,53071,,,,,carevue,,,,0
,,,,,3306,Apnea [Existence],,chartevents,52321,,,,,carevue,,,,0
,,Intravenous  / IV access prior to admission,,,225103,Intravenous  / IV access prior to admission,,chartevents,52107,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,3599,Remote Alarm [S],,chartevents,51999,,,,,carevue,,,,0
,,,,,1045,Pain Level/Response,,chartevents,51942,,,,,carevue,,,,0
,,Site Width #1,,,224846,Impaired Skin Width #1,cm,chartevents,51206,Skin - Impairment,,,,metavision,,Numeric,,0
,,,,,8531,Remote Alarm [D],,chartevents,51156,,,,,carevue,,,,0
,,,,,471,O2 Flow (lpm) #2,,chartevents,50718,,,,,carevue,,,,0
,,,,,926,Religion,,chartevents,50706,,,,,carevue,,,,0
,,,,,462,Neuro Drain [Level],,chartevents,50577,,,,,carevue,,,,0
,,,,,3403,ETT Sx Quantity,,chartevents,50350,,,,,carevue,,,,0
,,,,,225,IABP setting,,chartevents,50250,,,,,carevue,,,,0
,,,,,3551,Oral Sx Quantity,,chartevents,49705,,,,,carevue,,,,0
,,,,,353,ImpSkin #2 [Drain],,chartevents,49195,,,,,carevue,,,,0
,,,,,3401,ETT Sx Color,,chartevents,49155,,,,,carevue,,,,0
,,,,,8443,Neuro Drain [Location],,chartevents,48697,,,,,carevue,,,,0
,,,,,3681,Ventilator Number,,chartevents,48527,,,,,carevue,,,,0
,,,,,58,Atrial Pacemaker [mA],,chartevents,48216,,,,,carevue,,,,0
,,,,,338,Imp Skin Cleanse #1,,chartevents,47963,,,,,carevue,,,,0
,,,,,461,Neuro Drain Drainage,,chartevents,47855,,,,,carevue,,,,0
,,,,,51268,POLYCHROMASIA,,labevents,47280,HEMATOLOGY,,BLOOD,10378-8,,,,,0
,,,,,5683,Hourly PFR,,chartevents,46979,,,,,carevue,,,,0
,,,,,51087,LENGTH OF URINE COLLECTION,,labevents,46834,CHEMISTRY,,URINE,13362-9,,,,,0
,,Odor #3,,,224924,Impaired Skin Odor #3,,chartevents,46553,Skin - Impairment,,,,metavision,,Checkbox,,0
,,,,,3549,Oral Sx Color,,chartevents,45956,,,,,carevue,,,,0
,,MDI #1 Puff,,,224169,MDI #1 Puff,None,chartevents,45826,Respiratory,,,,metavision,,Numeric,,0
,,,,,8417,Inc #2 [Appearance],,chartevents,45792,,,,,carevue,,,,0
,,,,,3311,BP Alarm [Low],,chartevents,45737,,,,,carevue,,,,0
,,,,,93,CT #1 Crepitus,,chartevents,45611,,,,,carevue,,,,0
,,,,,303,IV #4 [Site],,chartevents,44526,,,,,carevue,,,,0
,,,,,51266,PLATELET SMEAR,,labevents,44151,HEMATOLOGY,,BLOOD,778-1,,,,,0
,,,,,8501,BP Alarm [High],,chartevents,44042,,,,,carevue,,,,0
,,,,,8371,Atrial Pacemaker [Sensitivity],,chartevents,43994,,,,,carevue,,,,0
,,,,,3453,Head of Bed,,chartevents,43247,,,,,carevue,,,,0
,,,,,823,Mixed Venous O2% Sat,,chartevents,43212,Blood Gases,,,,carevue,,,,0
,,,,,8403,IV #4 [Size],,chartevents,42802,,,,,carevue,,,,0
,,,,,731,Warming [Device],,chartevents,42787,,,,,carevue,,,,0
,,Self ADL,,,225092,Self ADL,,chartevents,42648,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,69,BSA,,chartevents,42452,,,,,carevue,,,,0
,,,,,916,Allergy 1,,chartevents,42452,,,,,carevue,,,,0
,,,,,919,Service,,chartevents,42452,,,,,carevue,,,,0
,,,,,920,Admit Ht,,chartevents,42452,,,,,carevue,,,,0
,,,,,924,Readmission,,chartevents,42452,,,,,carevue,,,,0
,,,,,925,Marital Status,,chartevents,42452,,,,,carevue,,,,0
,,,,,927,Allergy 2,,chartevents,42452,,,,,carevue,,,,0
,,,,,930,Ext,,chartevents,42452,,,,,carevue,,,,0
,,,,,935,Allergy 3,,chartevents,42452,,,,,carevue,,,,0
,,,,,917,Diagnosis/op,,chartevents,42450,,,,,carevue,,,,0
,,,,,358,ImpSkin Treatment #3,,chartevents,42371,,,,,carevue,,,,0
,,,,,388,Inc #3 [Closure],,chartevents,41559,,,,,carevue,,,,0
,,22 Gauge Dressing Occlusive,,,227369,22 Gauge Dressing Occlusive,,chartevents,41112,Access Lines - Peripheral,,,,metavision,,Checkbox,,0
,,,,,286,INV#4 WaveformAppear,,chartevents,40862,,,,,carevue,,,,0
,,History of slips / falls,,,225094,History of slips / falls,,chartevents,40691,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,22 Gauge placed in outside facility,,,226139,22 Gauge placed in outside facility,,chartevents,40666,Access Lines - Peripheral,,,,metavision,,Checkbox,,0
,,Cuff Pressure,,,224417,Cuff Pressure,cmH2O,chartevents,40523,Respiratory,,,,metavision,,Numeric,,0
,,,,,784,CPK,,chartevents,40429,Enzymes,,,,carevue,,,,0
,,,,,8485,Warming [Status],,chartevents,40224,,,,,carevue,,,,0
,,,,,570,PressSoreWoundBase#1,,chartevents,40185,,,,,carevue,,,,0
,,,,,592,RLE [Sensation],,chartevents,39456,,,,,carevue,,,,0
,,Incentive Spirometry,,,225189,Incentive Spirometry,,chartevents,39428,Treatments,,,,metavision,,Checkbox,,0
,,,,,598,RUE [Sensation],,chartevents,39121,,,,,carevue,,,,0
,,,,,496,PCA Dose,,chartevents,39013,,,,,carevue,,,,0
,,,,,499,PCA Medication,,chartevents,39009,,,,,carevue,,,,0
,,,,,7914,Insulin Guideline,,chartevents,38955,,,,,carevue,,,,0
,,,,,498,PCA Lockout (Min),,chartevents,38953,,,,,carevue,,,,0
,,,,,493,PCA 1 Hr Limit (mg),,chartevents,38930,,,,,carevue,,,,0
,,,,,8469,LLE [Sensation],,chartevents,38823,,,,,carevue,,,,0
,,,,,3370,Cobedding,,chartevents,38505,,,,,carevue,,,,0
,,,,,427,LUE [Temp],,chartevents,38291,,,,,carevue,,,,0
,,,,,8472,LUE [Sensation],,chartevents,38134,,,,,carevue,,,,0
,,,,,102,CT #2 Suction Amount,,chartevents,37777,,,,,carevue,,,,0
,,,,,446,Micro-Neb Treatment,,chartevents,37653,,,,,carevue,,,,0
,,,,,100,CT #2 Dressing,,chartevents,37582,,,,,carevue,,,,0
,,,,,8436,LUE [Color],,chartevents,37542,,,,,carevue,,,,0
,,,,,327,IV Site Appear #4,,chartevents,37372,,,,,carevue,,,,0
,,CVP Alarm - High,,,220072,Central Venous Pressure Alarm - High,mmHg,chartevents,37335,Alarms,,,,metavision,,Numeric,,0
,,CVP Alarm - Low,,,220073,Central Venous Pressure  Alarm - Low,mmHg,chartevents,37288,Alarms,,,,metavision,,Numeric,,0
,,,,,414,Incision/Wound #4,,chartevents,37055,,,,,carevue,,,,0
,,,,,346,ImpSkin Character #3,,chartevents,37045,,,,,carevue,,,,0
,,16 Gauge Dressing Occlusive,,,227366,16 Gauge Dressing Occlusive,,chartevents,36654,Access Lines - Peripheral,,,,metavision,,Checkbox,,0
,,Visual / hearing deficit,,,225087,Visual / hearing deficit,,chartevents,36392,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,8418,Inc #3 [Appearance],,chartevents,36368,,,,,carevue,,,,0
,,ETOH,,,225106,ETOH,,chartevents,36234,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,16 Gauge placed in outside facility,,,226136,16 Gauge placed in outside facility,,chartevents,36199,Access Lines - Peripheral,,,,metavision,,Checkbox,,0
,,,,,151,Dialysis Site Appear,,chartevents,36113,,,,,carevue,,,,0
,,,,,2921,Delta P,,chartevents,35834,,,,,carevue,,,,0
,,Multi Lumen Zero/Calibrate,,,225206,Multi Lumen Zero/Calibrate,,chartevents,35785,Access Lines - Invasive,,,,metavision,,Checkbox,,0
,,Difficulty swallowing,,,225118,Difficulty swallowing,,chartevents,35691,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,3425,FeSO4,,chartevents,35678,,,,,carevue,,,,0
,,,,,3502,Mean PAW,,chartevents,35644,,,,,carevue,,,,0
,,,,,508,PT Splint #1 [Location],,chartevents,35510,,,,,carevue,,,,0
,,,,,3468,IV #4 [Location],,chartevents,35267,,,,,carevue,,,,0
,,,,,3457,Hertz,,chartevents,35230,,,,,carevue,,,,0
,,,,,8450,PT Splint #1 [Status],,chartevents,35092,,,,,carevue,,,,0
,,,,,8524,IV #4 [Location],,chartevents,34975,,,,,carevue,,,,0
,,,,,5816,ICP Alarm [Low],,chartevents,34967,,,,,carevue,,,,0
,,,,,323,IV Site #4,,chartevents,34782,,,,,carevue,,,,0
,,,,,7074,NeoBlue Bank,,chartevents,34685,,,,,carevue,,,,0
,,,,,551,Pressure Sore #1 [Stage],,chartevents,34380,,,,,carevue,,,,0
,,,,,3605,Respiratory Support,,chartevents,34339,,,,,carevue,,,,0
,,,,,3307,Appearance,,chartevents,34319,,,,,carevue,,,,0
,,,,,554,Press Sore Site #2,,chartevents,34292,,,,,carevue,,,,0
,,,,,99,CT #2 Drainage,,chartevents,34269,,,,,carevue,,,,0
,,Dialysis patient,,,225126,Dialysis patient,,chartevents,34174,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,1211,Insp Time %,,chartevents,33868,,,,,carevue,,,,0
,,Currently experiencing pain,,,225113,Currently experiencing pain,,chartevents,33848,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,8550,ICP Alarm [High],,chartevents,33601,,,,,carevue,,,,0
,,Dialysis Catheter Dressing Occlusive,,,227357,Dialysis Catheter Dressing Occlusive,,chartevents,33433,Access Lines - Invasive,,,,metavision,,Checkbox,,0
,,Is the spokesperson the Health Care Proxy,,,225067,Is the spokesperson the Health Care Proxy,,chartevents,33335,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,101,CT #2 [Fluctuate],,chartevents,33209,,,,,carevue,,,,0
,,,,,253,INV Line#5 [Type],,chartevents,32949,,,,,carevue,,,,0
,,Site Length #2,,,224916,Impaired Skin Length #2,cm,chartevents,32675,Skin - Impairment,,,,metavision,,Numeric,,0
,,No wallet / money,,,226179,No wallet / money,,chartevents,32476,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,Recreational drug use,,,225110,Recreational drug use,,chartevents,32212,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,8396,INV Line#5 [Site],,chartevents,32170,,,,,carevue,,,,0
,,Dialysis Cath placed in outside facility,,,226118,Dialysis Catheter placed in outside facility,,chartevents,32078,Access Lines - Invasive,,,,metavision,,Checkbox,,0
,,,,,8374,CT #2 [Leak],,chartevents,31991,,,,,carevue,,,,0
,,,,,595,RSBI (<200),,chartevents,31984,,,,,carevue,,,,0
,,,,,652,Spon. Vt (L) (Mech.),,chartevents,31824,,,,,carevue,,,,0
,,,,,8365,Angio Appearance #1 [Attribute 2],,chartevents,31742,,,,,carevue,,,,0
,,,,,3689,Vt [Ventilator],,chartevents,31662,,,,,carevue,,,,0
,,Site Width #2,,,224951,Impaired Skin Width #2,cm,chartevents,31423,Skin - Impairment,,,,metavision,,Numeric,,0
,,,,,194,Flow-By (lpm),,chartevents,31379,,,,,carevue,,,,0
,,,,,55,Assisted Systole,,chartevents,31057,,,,,carevue,,,,0
,,Any fear in relationships,,,225074,Any fear in relationships,,chartevents,30995,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,497,Patient controlled analgesia (PCA) [Inject],,chartevents,30985,,,,,carevue,,,,0
,,,,,59,Augmented Diastole,,chartevents,30982,,,,,carevue,,,,0
,,Special diet,,,225122,Special diet,,chartevents,30876,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,62,BAEDP,,chartevents,30799,,,,,carevue,,,,0
,,,,,129,Collar Care,,chartevents,30769,,,,,carevue,,,,0
,,,,,597,RUE [Temperature],,chartevents,30601,,,,,carevue,,,,0
,,Social work consult,,,225078,Social work consult,,chartevents,30434,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,1397,RSBI (<100),,chartevents,30384,,,,,carevue,,,,0
,,,,,8449,Patient controlled analgesia (PCA) [Attempt],,chartevents,30368,,,,,carevue,,,,0
,,,,,195,Flow-by Sensitivity,,chartevents,30331,,,,,carevue,,,,0
,,,,,8471,RUE [Color],,chartevents,30152,,,,,carevue,,,,0
,,Odor #4,,,224925,Impaired Skin Odor #4,,chartevents,29513,Skin - Impairment,,,,metavision,,Checkbox,,0
,,,,,3417,Eye Drainage [Left],,chartevents,29263,,,,,carevue,,,,0
,,,,,3579,Precordium,,chartevents,29126,,,,,carevue,,,,0
,,,,,40071,Drain Out #1 Jackson Pratt,,outputevents,28864,,,,,carevue,,,,0
,,,,,121,Chest PT [Right],,chartevents,28730,,,,,carevue,,,,0
,,,,,1697,Atrial Pacemaker Sense [mV],,chartevents,28637,,,,,carevue,,,,0
,,,,,50993,THYROID STIMULATING HORMONE,,labevents,28221,CHEMISTRY,,BLOOD,16/01/2003,,,,,0
,,,,,364,ImpSkin Wound Base#3,,chartevents,28171,,,,,carevue,,,,0
,,,,,3484,Latch On,,chartevents,27827,,,,,carevue,,,,0
,,,,,3384,Dad held infant,,chartevents,27826,,,,,carevue,,,,0
,,,,,403,Inc #4 [Dressing],,chartevents,27800,,,,,carevue,,,,0
,,,,,3477,Infant's Behavior,,chartevents,27756,,,,,carevue,,,,0
,,,,,3324,BP UAC [Mean],,chartevents,27647,,,,,carevue,,,,0
,,Sexuality / reproductive problems,,,226180,Sexuality / reproductive problems,,chartevents,27621,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,3325,BP UAC [Systolic],,chartevents,27586,,,,,carevue,,,,0
,,,,,719,Ventricular Pacemaker [mA],,chartevents,27512,,,,,carevue,,,,0
,,,,,3638,Suck Reflex,,chartevents,27511,,,,,carevue,,,,0
,,,,,3660,Time at Breast,,chartevents,27473,,,,,carevue,,,,0
,,,,,666,Systolic Unloading,,chartevents,27432,,,,,carevue,,,,0
,,,,,8516,Eye Drainage [Right],,chartevents,27286,,,,,carevue,,,,0
,,,,,8508,BP UAC [Diastolic],,chartevents,27261,,,,,carevue,,,,0
,,,,,3329,BehavioralIntervent,,chartevents,27226,,,,,carevue,,,,0
,,,,,8378,Chest PT [Left],,chartevents,27131,,,,,carevue,,,,0
,,Emotional / physical / sexual harm,,,225076,Emotional / physical / sexual harm by partner or close relation,,chartevents,27071,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,8406,ImpSkin #1 [Amount],,chartevents,27034,,,,,carevue,,,,0
,,Cerebral Ventricular #1,,,226606,Cerebral Ventricular #1,mL,outputevents,26915,Drains,,,,metavision,,Numeric,,0
,,,,,70,BSA - English,,chartevents,26870,,,,,carevue,,,,0
,,,,,71,BSA - Metric,,chartevents,26870,,,,,carevue,,,,0
,,,,,50933,GREEN TOP HOLD (PLASMA),,labevents,26855,CHEMISTRY,,BLOOD,,,,,,0
,,,,,8491,Atrial Pacemaker Sense [mA],,chartevents,26712,,,,,carevue,,,,0
,,,,,150,Dialysis Machine,,chartevents,26633,,,,,carevue,,,,0
,,,,,1695,Atr Sens Thresh mV,,chartevents,26615,,,,,carevue,,,,0
,,,,,3497,MAWP Alarm [Low],,chartevents,26589,,,,,carevue,,,,0
,,CK (CPK),,,225634,CK (CPK),None,chartevents,26561,Labs,,,,metavision,,Numeric,,0
,,,,,1696,Atr Stim Thresh mA,,chartevents,26471,,,,,carevue,,,,0
,,,,,248,INV Line#4 Zero/Cal,,chartevents,26434,,,,,carevue,,,,0
,,,,,8527,MAWP Alarm [High],,chartevents,26329,,,,,carevue,,,,0
,,Cordis/Introducer Dressing Occlusive,,,227350,Cordis/Introducer Dressing Occlusive,,chartevents,26311,Access Lines - Invasive,,,,metavision,,Checkbox,,0
,,,,,3616,Skeletal Abnormality,,chartevents,26263,,,,,carevue,,,,0
,,,,,256,INV Line#5SiteAppear,,chartevents,26038,,,,,carevue,,,,0
,,,,,51100,"SODIUM, URINE",,labevents,25997,CHEMISTRY,,URINE,03/01/1955,,,,,0
,,,,,350,ImpSkin #3 [Drain],,chartevents,25902,,,,,carevue,,,,0
,,TF Residual,,,227510,TF Residual,mL,outputevents,25849,Output,,,,metavision,,Numeric,,0
,,Temp Pacemaker Wires Venticular,,,223962,Temporary Pacemaker Wires Venticular,None,chartevents,25498,Cardiovascular (Pacer Data),,,,metavision,,Numeric,,0
,,,,,40049,Chest Tubes Right Pleural 1,,outputevents,25448,,,,,carevue,,,,0
,,,,,785,CPK/MB,,chartevents,25336,Enzymes,,,,carevue,,,,0
,,,,,395,Inc #4 [Drainage],,chartevents,25130,,,,,carevue,,,,0
,,,,,3520,Muscular Abnormality,,chartevents,25094,,,,,carevue,,,,0
,,,,,51000,TRIGLYCERIDES,,labevents,24987,CHEMISTRY,,BLOOD,4/1/1644,,,,,0
,,Temp Pacemaker Rate,,,224751,Temporary Pacemaker Rate,bpm,chartevents,24924,Cardiovascular (Pacer Data),,,,metavision,,Numeric,,0
,,22 Gauge placed in the field,,,228101,22 Gauge placed in the field,,chartevents,24924,Access Lines - Peripheral,,,,metavision,,Checkbox,,0
,,Cordis/Introducer placed in outside facility,,,226109,Cordis/Introducer placed in outside facility,,chartevents,24786,Access Lines - Invasive,,,,metavision,,Checkbox,,0
,,Temp Pacemaker Wires Atrial,,,224839,Temporary Pacemaker Wires Atrial,None,chartevents,24754,Cardiovascular (Pacer Data),,,,metavision,,Numeric,,0
,,,,,40052,Gastric Nasogastric,,outputevents,24726,,,,,carevue,,,,0
,,,,,558,Pressure Sore #1 [Drainage],,chartevents,24703,,,,,carevue,,,,0
,,,,,339,Imp Skin Cleanse #2,,chartevents,24633,,,,,carevue,,,,0
,,Insulin pump,,,228236,Insulin pump,,chartevents,24585,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,51218,GRANULOCYTE COUNT,,labevents,24375,HEMATOLOGY,,BLOOD,30394-1,,,,,0
,,,,,40048,Chest Tubes Left Pleural 1,,outputevents,24144,,,,,carevue,,,,0
,,,,,1705,Vent Sens Thresh mV,,chartevents,24130,,,,,carevue,,,,0
,,,,,8457,Pressure Sore #1 [Heal],,chartevents,23971,,,,,carevue,,,,0
,,,,,164,Edema #2 [Location],,chartevents,23926,,,,,carevue,,,,0
,,,,,56,Atrial Pacemaker [Sense],,chartevents,23857,,,,,carevue,,,,0
,,,,,50979,RED TOP HOLD,,labevents,23831,CHEMISTRY,,BLOOD,,,,,,0
,,PA Line cm Mark,,,223773,PA Line cm Mark,cm,chartevents,23690,Hemodynamics,,,,metavision,,Numeric,,0
,,,,,509,PT Splint #2 [Location],,chartevents,23581,,,,,carevue,,,,0
,,,,,1707,Vent Stim Thresh mA,,chartevents,23546,,,,,carevue,,,,0
,,,,,8451,PT Splint #2 [Status],,chartevents,23403,,,,,carevue,,,,0
,,,,,817,LDH,,chartevents,23374,Enzymes,,,,carevue,,,,0
,,,,,487,Ostomy [Type],,chartevents,23357,,,,,carevue,,,,0
,,PCA dose,,,224328,PCA dose,None,chartevents,23170,Pain/Sedation,,,,metavision,,Numeric,,0
,,LDH,,,220632,LDH,None,chartevents,23125,Labs,,,,metavision,,Numeric,,0
,,,,,783,Blood Products,,chartevents,23047,Hematology,,,,carevue,,,,0
,,PCA lockout (min),,,224329,PCA lockout (min),min,chartevents,23044,Pain/Sedation,,,,metavision,,Numeric,,0
,,PCA 1 hour limit,,,224330,PCA 1 hour limit,None,chartevents,23003,Pain/Sedation,,,,metavision,,Numeric,,0
,,,,,1391,DO2I,,chartevents,22954,,,,,carevue,,,,0
,,,,,50908,CK-MB INDEX,,labevents,22911,CHEMISTRY,,BLOOD,20569-0,,,,,0
,,,,,3576,Position at Breast,,chartevents,22673,,,,,carevue,,,,0
,,,,,8384,Edema #2 [Amount],,chartevents,22519,,,,,carevue,,,,0
,,,,,50967,PHENYTOIN,,labevents,22453,CHEMISTRY,,BLOOD,07/01/1967,,,,,0
,,,,,8447,Ostomy [Appearance],,chartevents,22435,,,,,carevue,,,,0
,,,,,8484,Ventricular Pacemaker [Sensitivity],,chartevents,22418,,,,,carevue,,,,0
,,,,,40059,Gastric Oral Gastric,,outputevents,22099,,,,,carevue,,,,0
,,,,,50823,REQUIRED O2,,labevents,22057,BLOOD GAS,,BLOOD,,,,,,0
,,,,,50801,ALVEOLAR-ARTERIAL GRADIENT,,labevents,22016,BLOOD GAS,,BLOOD,19991-9,,,,,0
,,16 Gauge placed in the field,,,228098,16 Gauge placed in the field,,chartevents,21942,Access Lines - Peripheral,,,,metavision,,Checkbox,,0
,,Site Length #3,,,224917,Impaired Skin Length #3,cm,chartevents,21929,Skin - Impairment,,,,metavision,,Numeric,,0
,,,,,50887,BLUE TOP HOLD,,labevents,21880,CHEMISTRY,,BLOOD,,,,,,0
,,,,,798,Differential-Lymphs,,chartevents,21872,Hematology,,,,carevue,,,,0
,,,,,799,Differential-Monos,,chartevents,21871,Hematology,,,,carevue,,,,0
,,,,,797,Differential-Eos,,chartevents,21870,Hematology,,,,carevue,,,,0
,,,,,796,Differential-Basos,,chartevents,21869,Hematology,,,,carevue,,,,0
,,,,,800,Differential-Polys,,chartevents,21868,Hematology,,,,carevue,,,,0
,,MDI #2 Puff,,,224172,MDI #2 Puff,None,chartevents,21800,Respiratory,,,,metavision,,Numeric,,0
,,,,,8488,GI Prophylaxis [Drug #2],,chartevents,21737,,,,,carevue,,,,0
,,,,,3346,Caffeine,,chartevents,21721,,,,,carevue,,,,0
,,Jackson Pratt #1,,,226599,Jackson Pratt #1,mL,outputevents,21665,Drains,,,,metavision,,Numeric,,0
,,,,,3336,Breast Assessment,,chartevents,21602,,,,,carevue,,,,0
,,,,,3684,Vitamin E,,chartevents,21569,,,,,carevue,,,,0
,,Site Width #3,,,224952,Impaired Skin Width #3,cm,chartevents,21435,Skin - Impairment,,,,metavision,,Numeric,,0
,,,,,775,Amylase,,chartevents,21358,Enzymes,,,,carevue,,,,0
,,,,,158,ETT Position Change,,chartevents,21348,,,,,carevue,,,,0
,,Unable to assess psychological,,,225070,Unable to assess psychological,,chartevents,21333,Adm History/FHPA,,,,metavision,,Checkbox,,0
,,,,,3480,InterventionAssess,,chartevents,21190,,,,,carevue,,,,0
,,,,,134,Cooling [Device],,chartevents,21181,,,,,carevue,,,,0
,,,,,76,Bath,,chartevents,21076,,,,,carevue,,,,0
,,,,,377,Impaired Skin Site#4,,chartevents,21042,,,,,carevue,,,,0
,,,,,3688,Vt [Spontaneous],,chartevents,20801,,,,,carevue,,,,0
,,,,,705,Untoward Effect,,chartevents,20793,,,,,carevue,,,,0
,,,,,8369,Atrial Pacemaker [Capture],,chartevents,20762,,,,,carevue,,,,0
,,,,,1483,RSBI Not Completed,,chartevents,20511,,,,,carevue,,,,0
,,,,,8433,Inc #4 [Status],,chartevents,20440,,,,,carevue,,,,0
,,Differential-Basos,,,225639,Differential-Basos,None,chartevents,20425,Labs,,,,metavision,,Numeric,,0
,,Differential-Lymphs,,,225641,Differential-Lymphs,None,chartevents,20425,Labs,,,,metavision,,Numeric,,0
,,Differential-Monos,,,225642,Differential-Monos,None,chartevents,20425,Labs,,,,metavision,,Numeric,,0
,,Differential-Neuts,,,225643,Differential-Neuts,None,chartevents,20425,Labs,,,,metavision,,Numeric,,0
,,Differential-Eos,,,225640,Differential-Eos,None,chartevents,20424,Labs,,,,metavision,,Numeric,,0
,,CK-MB,,,227445,CK-MB,None,chartevents,20378,Labs,,,,metavision,,Numeric with tag,,0
,,,,,153,Diastolic Unloading,,chartevents,20299,,,,,carevue,,,,0
,,,,,8423,Inc #2 [Amount],,chartevents,20218,,,,,carevue,,,,0
,,,,,8379,Cooling [Status],,chartevents,20203,,,,,carevue,,,,0
,,,,,500,PCA Total Dose,,chartevents,20044,,,,,carevue,,,,0
,,Site Depth #1,,,224563,Impaired Skin Depth #1,cm,chartevents,19805,Skin - Impairment,,,,metavision,,Numeric,,0
,,,,,472,O2AV,,chartevents,19669,,,,,carevue,,,,0
,,,,,473,O2AVI,,chartevents,19596,,,,,carevue,,,,0
,,O2 Flow (additional cannula),,,227287,O2 Flow (additional cannula),L/min,chartevents,19339,Respiratory,,,,metavision,,Numeric,,0
,,PCA inject,,,224332,PCA inject,None,chartevents,19287,Pain/Sedation,,,,metavision,,Numeric,,0
,,,,,3303,Ampicillin,,chartevents,19248,,,,,carevue,,,,0
,,,,,573,Pressure Sore Odor#1,,chartevents,19241,,,,,carevue,,,,0
,,Odor #5,,,224926,Impaired Skin Odor #5,,chartevents,19225,Skin - Impairment,,,,metavision,,Checkbox,,0
,,PCA attempt,,,224663,PCA attempt,None,chartevents,19216,Pain/Sedation,,,,metavision,,Numeric,,0
,,,,,641,Sitter,,chartevents,19013,,,,,carevue,,,,0
,,,,,3409,Environmental Interv,,chartevents,18968,,,,,carevue,,,,0
,,,,,564,PressSoreCleansing#1,,chartevents,18948,,,,,carevue,,,,0
,,,,,8470,ROM [Value],,chartevents,18898,,,,,carevue,,,,0
,,,,,51093,"OSMOLALITY, URINE",,labevents,18842,CHEMISTRY,,URINE,05/01/1995,,,,,0
,,,,,50964,"OSMOLALITY, MEASURED",,labevents,18817,CHEMISTRY,,BLOOD,02/01/1992,,,,,0
,,,,,603,Radial Pulse [Right],,chartevents,18682,,,,,carevue,,,,0
,,CO (Arterial),,,227543,CO (Arterial),L/min,chartevents,18609,Hemodynamics,,,,metavision,,Numeric,,0
,,,,,51007,URIC ACID,,labevents,18355,CHEMISTRY,,BLOOD,01/01/1984,,,,,0
,,,,,141,Cuff Pressure-Airway,,chartevents,18296,,,,,carevue,,,,0
,,,,,717,Ventricular Pacemaker [Sense],,chartevents,18241,,,,,carevue,,,,0
